Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
600-308,,Apple Clear,1.5 L,$3.00,$36.00,12 Unit,
600-309,,Peach Clear,1.5 L,$3.00,$36.00,12 Unit,
"

",,,,,,,
NESTEA - Iced Tea ,,,,,,,
"
",,,,,,,
600-551,8005200496525,Nestea Peach,1.5L,$3.75,$22.50,6 Unit,B.A.H
600-552,8005217176557,Nestea Grape &Melon,1.5L,$3.75,$22.50,6 Unit,B.A.H
600-553,8005200536528,Nestea Mango & Pineapple,1.5L,$3.75,$22.50,6 Unit,B.A.H
600-555,8005200516520,Diet Nestea Peach,1.5L,$3.75,$22.50,6 Unit,B.A.H
"

",,,,,,,
Malt Beverages – Black Root Beer,,,,,,,
"
",,,,,,,
600-311,7290010237623,Black Beer,1.5 L,$3.25,$39.00,12 Unit,B.A.H
"

",,,,,,,
72,,,,,,,
"
",,,,,,,
600-312,7290010237630,Diet Black Beer,1.5 L,$3.25,$39.00,12 Unit,B.A.H
600-325,897285002016,Black Beer,500 ml,$1.37,$33.00,24 Unit,B.A.H
"

",,,,,,,
  ,,,,,,,
"
",,,,,,,
XL Energy 200ml ,,,,,,,
"
",,,,,,,
600-327,856867000017,XL Energy Drink,200ml,$1.50,36.00,24 Unit,O.K.
600-326,856867000048,Diet Energy Dring,200ml,$1.50,$36.00,24 Unit,O.K.
"

",,,,,,,
Neviot – Water 1.5 L,,,,,,,
"
",,,,,,,
600-202,850335003159,Water – Grape Flavor,1.5L,$2.75,33.00,12 Unit,B.A.H
600-204,850335003128,Water – Apple Flavor,1.5L,$2.75,$33.00,12 Unit,B.A.H
600-205,850335003913,Water – Peach Flavor,1.5L,$2.75,$33.00,12 Unit,B.A.H
600-221,850335003050,Water – Grape Flavor,500ml,$1.62,39.00,24 Unit,B.A.H
"

",,,,,,,
73,,,,,,,
"
",,,,,,,
600-223,850335003029,Water – Apple Flavor,500ml,$1.62,$39.00,24 Unit,B.A.H
600-225,850335003012,Water – Peach Flavor,500ml,$1.62,$39.00,24 Unit,B.A.H
"

",,,,,,,
Crystal Soda  ,,,,,,,
"
",,,,,,,
600-381,7290001247037,Crystal Mint,2L,$3.00,$24.00,8 Unit,B.A.H
"

",,,,,,,
Aloe Vera Water 330ml ,,,,,,,
"
",,,,,,,
600-251,8850389101728,Aloe Vera Apple,330ml,$1.75,$42.00,24Unit,B.A.H.
600-252,8850389104644,Aloe Vera Peach,330ml,$1.75,$42.00,24Unit,B.A.H.
600-253,8850389101728,Aloe Vera Grape,330ml,$1.75,$42.00,24Unit,B.A.H.
600-254,8850389115336,Aloe Vera Melon,330ml,$1.75,$42.00,24 Unit,B.A.H.
"

",,,,,,,
 ,,,,,,,
Aloe Vera Water 1L,,,,,,,
"
",,,,,,,
600-261,8850389105825,Aloe Vera Grape,1L,$3.50,$42.00,12Unit,B.A.H.
600-262,8850389105832,Aloe Vera Apple,1L,$3.50,$42.00,12Unit,B.A.H.
"

",,,,,,,
74,,,,,,,
"
",,,,,,,
600-263,8850389105849,Aloe Vera Peach,1L,$3.50,$42.00,12Unit,B.A.H.
600-264,8-850389115336**,Aloe Vera Melon,1L,$3.50,$42.00,12Unit,B.A.H.
"

",,,,,,,
Schweppes Soda,,,,,,,
"
",,,,,,,
600-701,7290013702555,"Light 210Sparkling  
Pineapple",1.5L,$3.50,$42.00,12Unit,Mehadrin
600-702,7290011051389,Light Sparkling Berries,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-703,729001051372,Light Sparkling Apple Lime,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-722,7290012404238,Russchian Mixer,1.5L,$4.00,$48.00,12Unit,Mehadrin
600-704,7290011051396,Light Sparkling Peach,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-705,7290011051655,Light Sparkling Grape,1.5L,$3.50,$42.00,12Unit,Mehadrin
"

",,,,,,,
75,,,,,,,
"
",,,,,,,
600-711,7290012404160,Sparkling Red Grapefruit,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-712,7290013702470,Sparkling Pink Lemonade,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-709,7290018471067,Mojito Lime Mint,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-710,7290018471081,Cosmo Cranberry Lime,1.5L,$3.50,$42.00,12Unit,Mehadrin
600-731,850335003159,Grape Water,1.5L,$2.75,$33.00,12Unit,Mehadrin
600-732,7290013702029,Peach Water,1.5L,$2.75,$33.00,12Unit,Mehadrin
600-733,7290013702371,Apple Water,1.5L,$2.75,$33.00,12Unit,Mehadrin
600-734,7290013702005,Berries Water,1.5L,$2.75,$33.00,12Unit,Mehadrin
600-341,7290018471609,Tapuzina Grape,330ml,$1.38,$33.00,24 Unit,
600-342,7290018471609,Tapuzina Grapefruit,330ml,$1.38,$33.00,24 Unit,
"

",,,,,,,
76,,,,,,,
"
",,,,,,,
600-343,,Tapuzina Orange,330ml,$1.38,$33.00,24 Unit,
600-344,,"Tapozina Banana 
Strawberry",330ml,$1.38,$33.00,24 Unit,
600-345,,Tapozina-Lemon Nana,330ml,$1.38,$33.00,24 Unit,
600-741,7290013702050 **,Schweppes Grape Water,0.5 L,$1.75,$42.00,24 Unit,
600-742,,Schweppes Peach Water,0.5 L,$1.75,$42.00,24 Unit,
600-743,7290013702388 **,Schweppes Apple Water,0.5 L,$1.75,42.00,24 Unit,
600-762,,Schweppes Watermelon  Lime,330ml,$1.75,$42.00,24 Unit,B.A.H
600-763,,Schweppes Cherry Acai,330ml,$1.75,$42.00,24 Unit,B.A.H
600-764,,Pineapple Strawberry,330ml,$1.75,$42.00,24 Unit,B.A.H
600-761,,Coconut Pineapple,330ml,$1.75,$42.00,24 Unit,B.A.H
600-765,,Kiwi Strawberry,330ml,$1.75,$42.00,24 Unit,B.A.H
600-317,7290008464963,Jump Grape,330ml,$1.37,$33.00,24 Unit,B.A.H
600-313,0-4048784649-4,Jump Grapefruit,330ml,$1.37,$33.00,24 Unit,B.A.H
600-316,7290008464918,Jump Strawberry Banana,330ml,$1.37,$33.00,24 Unit,B.A.H
"

",,,,,,,
77,,,,,,,
"
",,,,,,,
600-315,0-4048784648-7,Jump Orange,330ml,$1.37,$33.00,24 Unit,B.A.H
600-328,,Apple Cider Juice,330ml,$1.37,$33.00,24 Unit,B.A.H
600-329,,Cider Hadlil Sparkling,275ml,$1.37,$33.00,24 Unit,B.A.H
600-398,7-29001060940-6,Grape Cap Tropit,200ml,$0.60,$12.00,20 Unit,B.A.H
600-396,7290001060900* *,Grape Cap Tropit,250ml,$0.60,$24.00,40 Unit,B.A.H
600-392,7290015639861* *,Mini Ice’s,70pc(4),$4.25,$17.00,4 Unit,B.A.H
600-391,7290010609734 **,ICES,8pc,$1.40,$21.00,15 Unit,B.A.H
600-395,7290010609840,Grape Straw Tropit,200ml,$0.60,$12.00,18 Unit,B.A.H
600-399,7290006730374 **,Grape Straw Tropit,200ml,$0.45,$18.00,40 Unit,B.A.H
"

",,,,,,,
Fuze Tea 1.5 L,,,,,,,
"
",,,,,,,
600-571,,Peach,1.5 L,$3.50,$42.00,12 Unit,
600-576,,Peach 3x4Pk,3x4 Pk,$14.00,$42.00,4 Pk,
600-575,,Diet Peach Tea,1.5 L,$3.50,$42.00,12 Unit,
600-411,860007292408**,Tea Concentrate Mint,500ml,$5.25,$63.00,12 Unit,B.A.H
"

",,,,,,,
78,,,,,,,
"
",,,,,,,
600-412,860007292439**,Tea Concentrate Peach,500ml,$5.25,$63.00,12 Unit,B.A.H
600-413,860007292453**,"Tea Concentrate 
Classic",500ml,$5.25,$63.00,12 Unit,B.A.H
600-414,860007292415**,Tea Concentrate Berry,500ml,$5.25,$63.00,12 Unit,B.A.H
"

",,,,,,,
  ,,,,,,,
"
",,,,,,,
Tirosh Grape Juice ,,,,,,,
"
",,,,,,,
600-402,729000696243,Efrat Red Grape Juice,1L,$5.00,$60.00,12 Unit,B.A.H
600-403,7290006696250,Efrat White Grape Juice,1L,$5.00,$60.00,12 Unit,B.A.H
"

",,,,,,,
 ,,,,,,,
"
",,,,,,,
79,,,,,,,
"
",,,,,,,
80,,,,,,,
"
",,,,,,,
