Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
105-227,651536952839,Crushed Chili Peppers,2.8oz,$4.00,$24.00,6Unit,B.A.H.
105-229,651536953034,Ground Black Pepper,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-230,651536952815,Coarse Black Pepper,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-231,,Whole English Pepper,3.5oz,$4.00,$24.00,6Unit,B.A.H.
105-233,651536952945,Ground White Pepper,4.5oz,$4.00,$24.00,6Unit,B.A.H.
105-235,651536953072,Ground Turmeric,6oz,$4.00,$24.00,6Unit,B.A.H.
105-236,651536952938,Curry Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-238,651536952846,Ground Cumin,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-211,651536953157,Steak Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-213,651536953126,Chicken Grill,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-241,,Garlic Powder,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-242,651536953171,Dried Garlic Slices,5.3oz,$4.00,$24.00,6Unit,B.A.H.
105-244,,Onion Powder,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-191,651536952822,Baharat,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-194,651536952907,"Ras El Hanout 
(House Mix)",4.5oz,$4.00,$24.00,6Unit,B.A.H.
105-195,651536952990,Hawijj For Soup,4.5oz,$4.00,$24.00,6Unit,B.A.H.
105-196,651536952877,Allspice,3.5oz,$4.00,$24.00,6Unit,B.A.H.
105-203,651536952860,Zaatar Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-207,651536953027,Citric Acid,9.5oz,$4.00,$24.00,6Unit,B.A.H.
105-180,651536952754,Mustard Seed,6.0oz,$4.00,$24.00,6Unit,B.A.H.
105-181,651536952914,Ground Caraway,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-183,651536952723,Nutmeg,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-184,651536952891,Ground Ginger,3.5oz,$4.00,$24.00,6Unit,B.A.H.
105-188,651536952754,Ground Cinnamon,4.6oz,$4.00,$24.00,6Unit,B.A.H.
105-189,651536953065,Cinnamon Sticks,2.8oz,$4.00,$24.00,6Unit,B.A.H.
105-161,651536952921,Bay Leaves,0.7oz,$4.00,$24.00,6Unit,B.A.H.
105-162,651536952853,Parsley Leaves,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-163,651536952976,Cilantro,0.7oz,$4.00,$24.00,6Unit,B.A.H.
105-166,651536952983,Dill Weed,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-168,651536952792,Oregano,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-169,651536952969,Basil Leaves,1.75oz,$4.00,$24.00,6Unit,B.A.H.
105-171,651536953102,Thyme,1.75oz,$4.00,$24.00,6Unit,B.A.H.
105-172,651536952952,Rosemary,2.1oz,$4.00,$24.00,6Unit,B.A.H.
105-173,,Mint,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-174,651536952785,Ground Cloves,1.4oz,$4.00,$24.00,6Unit,B.A.H.
105-215,651536953140,B.B.Q Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-212,651536953133,Shawarma Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-214,651536953119,Fish Seasoning,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-252,651536955007,Sweet Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-253,651536955014,Moroccan Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-254,651536955021,Coarse Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-255,651536955045,Hot Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-256,651536955038,Hot Moroccan Paprika,10.5oz,$6.50,$58.50,9Unit,Landau
105-271,651536952013,Turmeric,10.5oz,$6.50,$58.50,9Unit,Landau
105-272,651536952020,Cumin,10.5oz,$6.50,$58.50,9Unit,Landau
105-268,651536955106,Coarse Black Pepper,10.5oz,$7.50,$67.50,9Unit,Landau
105-295,651536955052,"Sweet Whole Chili  
Pepper",5.0oz,$4.00,$40.00,10Unit,Landau
105-296,651536955069,Hot Whole Chili Pepper,5.0oz,$4.00,$40.00,10Unit,Landau
F105-648,651536954949,Pickled Lemon  Spread,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-647,651536954963,Pickled Mango  Spread,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-644,651536954918,Spicy Harissa,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-643,651536954901,Sweet Harissa,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-646,651536954956,Minced Garlic,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-642,,Tchuma Pepper,8.8oz,$4.00,$48.00,12 Unit,Landau
F105-641,651536954932,"Green  
S’chug",8.8oz,$4.00,$48.00,12 Unit,Landau
"

",,,,,,,
28,,,,,,,
"
",,,,,,,
F105-651,,Pepper Paste,8.8oz,$4.00,$48.00,12 Unit,
F105-652,,Lemon Spread,8.8oz,$4.00,$48.00,12 Unit,
F105-653,,"Hot Pepper  
Spread",8.8oz,$4.00,$48.00,12 Unit,
F105-645,651536954970**,Chimichurri,8.8oz,$4.00,$48.00,12 Unit,
"

",,,,,,,
 ,,,,,,,
Jasmine Gourmet Frozen Retail Products,,,,,,,
"
",,,,,,,
F110-302,651536952235,Spicy Beef Cigars,12oz,$12.00,$144.00,12Unit,O.U. Glatt
F110-303,644287992315,Chicken Cigars,10oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-308,644287992384,Beef Kebbe,16oz,$12.00,$144.00,14Unit,O.U. Glatt
F110-317,644287992339,Meat Empanada,8oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-319,651536947729,Mini Meat Pizza,15oz,$12.00,$144.00,12 Unit,O.U. Glatt
F110-606,,Meatless Meatballs in Sauce,21oz,$5.50,$44.00,8 Unit,B.A.H
F110-611,,Vegan Burger,21oz,$5.50,$44.00,8 Unit,B.A.H
F110-618,,Vegan Mini Aryes,"8x10 
pk",$10.00,$80.00,8x10pk,B.A.H
F110-621,,Vegan Shawarma Wrap,"8x3 
pk",$26.66,$80.00,8x3pk,B.A.H
F110-622,,Vegan Shawarma,14oz,$6.00,$72.00,12 Unit,B.A.H
